MODEL SA230P OPTIONS CH1,MEA,EXC,DGT,CST SERIAL AQ00071865
DRIVER 3.9.20621.38
FIRMWARE Stage1 Version 3.7.393.0, FPGA Firmware Version 3.7.393.70110/AVG.CST.DGT/SFIR, FE CPLD 1/0.4.0.0
IO ControlIO1 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,In-AccumulationEnable,Out-Software,In-Software,In-EnableFirstTrigger,In-StateMonitoring
IO ControlIO2 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,Out-AcquisitionActive,In-TriggerEnable,Out-Software,In-Software,In-EnableFirstTrigger,In-StateMonitoring
IO ControlIO3 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,Out-AnalyzerArmed,Out-Software,In-Software,In-EnableFirstTrigger
GATE_CAPABILITY ControlIO2 (does not prove first-edge timing or CST operation)
SETUP_APPLIED CST=Triggered gate=ControlIO2 signal=In-TriggerEnable samples=6150016 rate=1e9 threshold_50ohm_V=1
ARMED: waiting for hardware-qualified edges; DIAGNOSTIC ONLY, WAVEFORMS NOT SAVED
record,index,first_sample_s,interval_s,host_elapsed_s,samples,firstElement
WAVE_PREVIEW stride=64 raw_min=-32768 raw_max=-6433 rises=6 approx_frequency_Hz=1000.06400409626 (raw units, not calibrated amplitude; 0 means insufficient crossings)
291,290,3.814983116,0.006829004,1.9844711,6150016,8
292,291,3.82181112,0.006828004,1.991303,6150016,8
293,292,3.828639128,0.006828008,1.9981181,6150016,8
294,293,3.835467132,0.006828004,2.0050332,6150016,8
295,294,3.842295136,0.006828004,2.0117716,6150016,8
296,295,3.84912314,0.006828004,2.0185907,6150016,8
297,296,3.855951144,0.006828004,2.0254146,6150016,8
298,297,3.862779152,0.006828008,2.0322545,6150016,8
299,298,3.869607156,0.006828004,2.0391153,6150016,8
300,299,3.87643516,0.006828004,2.0459259,6150016,8
301,300,3.883263164,0.006828004,2.0527449,6150016,8
302,301,3.890091168,0.006828004,2.0596532,6150016,8
303,302,3.896919176,0.006828008,2.0663723,6150016,8
304,303,3.90374718,0.006828004,2.0732237,6150016,8
305,304,3.910575184,0.006828004,2.0800574,6150016,8
306,305,3.917403188,0.006828004,2.0868608,6150016,8
307,306,3.924231192,0.006828004,2.0937142,6150016,8
308,307,3.9310602,0.006829008,2.1005581,6150016,8
309,308,3.937888204,0.006828004,2.1074086,6150016,8
310,309,3.944716208,0.006828004,2.1142453,6150016,8
311,310,3.951544212,0.006828004,2.1210169,6150016,8
312,311,3.958372216,0.006828004,2.1278473,6150016,8
313,312,3.965200224,0.006828008,2.1346677,6150016,8
314,313,3.972028228,0.006828004,2.1414892,6150016,8
